record_id,timestamp,sensor_a,sensor_b,status,comment
M000000,2025-03-01T00:00:00,64.2185,0.67685,ok,fictional high-volume mock export
M000001,2025-03-02T00:00:01,80.155,0.666545,check,fictional high-volume mock export
M000002,2025-03-03T00:00:02,54.7548,0.824542,repeat,fictional high-volume mock export
M000003,2025-03-04T00:00:03,31.7608,0.58298,missing,fictional high-volume mock export
M000004,2025-03-05T00:00:04,88.3389,0.475059,ok,fictional high-volume mock export
M000005,2025-03-06T00:00:05,68.1414,0.407185,check,fictional high-volume mock export
M000006,2025-03-07T00:00:06,48.939,0.537919,repeat,fictional high-volume mock export
M000007,2025-03-08T00:00:07,42.0244,0.770529,missing,fictional high-volume mock export
M000008,2025-03-09T00:00:08,21.9399,0.513975,ok,fictional high-volume mock export
M000009,2025-03-10T00:00:09,65.7976,0.974671,check,fictional high-volume mock export
M000010,2025-03-11T00:00:10,10.5127,0.856799,repeat,fictional high-volume mock export
M000011,2025-03-12T00:00:11,36.0111,0.460164,missing,fictional high-volume mock export
M000012,2025-03-13T00:00:12,28.1091,0.331479,ok,fictional high-volume mock export
M000013,2025-03-14T00:00:13,82.642,0.191414,check,fictional high-volume mock export
M000014,2025-03-15T00:00:14,50.3358,0.478842,repeat,fictional high-volume mock export
M000015,2025-03-16T00:00:15,51.605,0.758177,missing,fictional high-volume mock export
M000016,2025-03-17T00:00:16,22.351,0.428885,ok,fictional high-volume mock export
M000017,2025-03-18T00:00:17,53.6438,0.036881,check,fictional high-volume mock export
M000018,2025-03-19T00:00:18,39.001,0.45751,repeat,fictional high-volume mock export
M000019,2025-03-20T00:00:19,13.0678,0.097385,missing,fictional high-volume mock export
M000020,2025-03-21T00:00:20,44.9413,0.825154,ok,fictional high-volume mock export
M000021,2025-03-22T00:00:21,60.3378,0.443087,check,fictional high-volume mock export
M000022,2025-03-23T00:00:22,52.3867,0.1698,repeat,fictional high-volume mock export
M000023,2025-03-24T00:00:23,59.8453,0.505152,missing,fictional high-volume mock export
M000024,2025-03-25T00:00:24,58.032,0.825651,ok,fictional high-volume mock export
M000025,2025-03-26T00:00:25,77.8267,0.349803,check,fictional high-volume mock export
M000026,2025-03-27T00:00:26,58.7199,0.264428,repeat,fictional high-volume mock export
M000027,2025-03-28T00:00:27,83.0077,0.594482,missing,fictional high-volume mock export
M000028,2025-03-01T00:00:28,56.6985,0.636859,ok,fictional high-volume mock export
M000029,2025-03-02T00:00:29,20.08,0.118199,check,fictional high-volume mock export
M000030,2025-03-03T00:00:30,25.5005,0.268992,repeat,fictional high-volume mock export
M000031,2025-03-04T00:00:31,58.8083,0.117744,missing,fictional high-volume mock export
M000032,2025-03-05T00:00:32,54.7242,0.218504,ok,fictional high-volume mock export
M000033,2025-03-06T00:00:33,39.2679,0.772888,check,fictional high-volume mock export
M000034,2025-03-07T00:00:34,22.1331,0.490176,repeat,fictional high-volume mock export
M000035,2025-03-08T00:00:35,27.6447,0.439816,missing,fictional high-volume mock export
M000036,2025-03-09T00:00:36,89.7713,0.007668,ok,fictional high-volume mock export
M000037,2025-03-10T00:00:37,16.8521,0.694793,check,fictional high-volume mock export
M000038,2025-03-11T00:00:38,28.531,0.156632,repeat,fictional high-volume mock export
M000039,2025-03-12T00:00:39,38.3159,0.362416,missing,fictional high-volume mock export
M000040,2025-03-13T00:00:40,21.2877,0.844764,ok,fictional high-volume mock export
M000041,2025-03-14T00:00:41,62.7797,0.662396,check,fictional high-volume mock export
M000042,2025-03-15T00:00:42,53.2156,0.820762,repeat,fictional high-volume mock export
M000043,2025-03-16T00:00:43,13.5755,0.459549,missing,fictional high-volume mock export
M000044,2025-03-17T00:00:44,70.337,0.29729,ok,fictional high-volume mock export
M000045,2025-03-18T00:00:45,24.0129,0.607465,check,fictional high-volume mock export
M000046,2025-03-19T00:00:46,83.696,0.679668,repeat,fictional high-volume mock export
M000047,2025-03-20T00:00:47,83.7466,0.580753,missing,fictional high-volume mock export
