response_id,wave,group,confidence_pre,confidence_post,free_text
R024,main,control,2,7,Useful but I need clearer steps.
R023,main,unknown,5,6,Not sure which file is final.
R022,main,intervention,4,5,I liked having outputs to inspect.
R021,main,control,3,4,The folder was hard to understand.
R020,main,unknown,2,3,Useful but I need clearer steps.
R019,main,intervention,5,7,Not sure which file is final.
R018,main,control,4,6,I liked having outputs to inspect.
R017,main,unknown,3,5,The folder was hard to understand.
R016,main,intervention,2,4,Useful but I need clearer steps.
R015,main,control,5,3,Not sure which file is final.
R014,main,unknown,4,7,I liked having outputs to inspect.
R013,main,intervention,3,6,The folder was hard to understand.
R012,main,control,2,5,Useful but I need clearer steps.
R011,main,unknown,5,4,Not sure which file is final.
R010,main,intervention,4,3,I liked having outputs to inspect.
R009,main,control,3,7,The folder was hard to understand.
R008,main,unknown,2,6,Useful but I need clearer steps.
R007,pilot,intervention,5,5,Not sure which file is final.
R006,pilot,control,4,4,I liked having outputs to inspect.
R005,pilot,unknown,3,3,The folder was hard to understand.
R004,pilot,intervention,2,7,Useful but I need clearer steps.
R003,pilot,control,5,6,Not sure which file is final.
R002,pilot,unknown,4,5,I liked having outputs to inspect.
R001,pilot,intervention,3,4,The folder was hard to understand.
