run_id,thread_id,scenario_id,context_variant,model,reasoning_effort,start_time,end_time,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,tool_calls,usable_without_followup,notes
1,,PM1,S,gpt-5.5,high,,,,,,,,,,
2,,PM2,S,gpt-5.5,high,,,,,,,,,,
3,,PM3,S,gpt-5.5,high,,,,,,,,,,
4,,PM4,S,gpt-5.5,high,,,,,,,,,,
5,,PM5,S,gpt-5.5,high,,,,,,,,,,
6,,PM6,S,gpt-5.5,high,,,,,,,,,,
7,,PM7,S,gpt-5.5,high,,,,,,,,,,
8,,PM8,S,gpt-5.5,high,,,,,,,,,,
9,,PM9,S,gpt-5.5,high,,,,,,,,,,
10,,PM10,S,gpt-5.5,high,,,,,,,,,,
