task_id,title,owner,due_date,priority,status,dependency
TB-201,Send API field list,Owen,2026-05-13,High,In progress,
TB-202,Confirm dashboard minimum fields,Sara,2026-05-14,High,Not started,TB-201
TB-203,Recruit staff testers,Sam,2026-05-10,High,Overdue,
TB-204,Book staff testing slots,Sam,2026-05-13,High,Not started,TB-203
TB-205,Draft training pack,Maya,2026-05-17,Medium,Not started,TB-204
TB-206,Fix booking-form keyboard focus,Tomas,2026-05-15,High,In progress,
TB-207,Review appointment-type labels,Sara,2026-05-13,Medium,Not started,
TB-208,Agree retention wording,Leila,2026-05-14,High,In progress,
TB-209,Prepare payment scope note,Maya,2026-05-15,Low,Not started,
TB-210,Update benefits log,Owen,2026-05-16,Low,Not started,
TB-211,Write sponsor one-pager,Maya,2026-05-15,High,Not started,
TB-212,Create older-request CSV export,Tomas,2026-05-24,Medium,Not started,TB-201

